Topic;Text;Harald;Mons;Øystein;Elias
IN5200;Hva er to-komplement? 01011101 = 93. Skriv om dette til -93 på to-komplement.;;;;
IN5200;Hvordan representeres blocking og non-blocking assignments i Systemverilog?;;;;
IN5200;Skal man bruke blocking eller non-blocking assignments for kombinatoriske kretser?;;;;
IN5200;Forklar egenskapene til de 3 datatypene 'wire', 'reg', og 'logic'.;;;;
IN5200;Hvordan lager man en kø i Systemverilog?;;;;
IN5200;Forklar, og gi et eksempel på bruken av, 'typedef'.;;;;
IN5200;Hvorfor er det viktig med verifikasjon?;;;;
IN5200;"Forklar begrepene ""direkte testing"", ""randomisert testing"".";;;;
IN5200;"Forklar forskjellen på ""fork ... join"", ""fork ... join_none"", og ""fork ... join_any"".";;;;
IN5200;"Hva brukes ""automatic"" til i Systemverilog (hint: tråder)";;;;
IN5200;"Forklar hvorfor man noen ganger vil bruke ""wait fork"" i stedet for ""fork ... join"".";;;;
IN5200;Hvordan disabler man en spesifikk, navnet tråd?;;;;
IN5200;Gi et eksempel på hvordan man bruker events i Systemverilog. Bruk både trigger og vent-på-trigger i eksemplet.;;;;
IN5200;Gi eksempel på hvordan man bruke UVM events.;;;;
IN5200;Forklar hvordan man lager en 'mailbox' i Systemverilog, og forklar hvordan hvilke metoder et mailbox-objekt har.;;;;
IN5200;Hvordan deklarerer men typen til en maibox, og hvorfor er dette lurt?;;;;
IN5200;Hvilken retning har signaler i et interface som standard?;;;1;
IN5200;Lag et eksempel-interface, og en eksempel-modul som bruker dette interfacet.;;0;;
IN5200;Lag et eksempel-interface med modport. Lag modport-definisjon for to tenkte moduler som bruker interfacet.;;;;
IN5200;"Forklar begrepet ""A testbench based on randomization is a shotgun"".";;;;
IN5200;"Forklar forskjellen på ""functional coverage"" og ""code coverage"".";;;;
IN5200;List opp alle de 9 punktene man kan randomisere i følge forelesning om randomisering.;;;;
IN5200;"Hvis man bruker ""disable fork"", hvilke tråder blir avsluttet?";1;;;
IN5200;Lag en eksempelklasse der signalene kan randomiseres, og sett constraints på de samme signalene. Lag et lite eksempel der et objekt av klasse opprettes og randomiseres;;;;
IN5200;Lag et eksempel på en constraint som vektet distribusjon;;;;
IN5200;Lag et eksempel på en constraint som setter at signal X > signal Y < signal Z;;;;
IN5200;"Forklar forskjellen på "":/"" og "":="" i forbindelse med constraints. Lag et eksempel på bruk av begge deler.";;;;
IN5200;Lag et lite eksempel på hvordan man setter opp en covergroup med ett coverpoint, og sampler data med dette.;1;1;;
IN5200;Hvor bør covergroups defineres, og hvorfor?;;;;
IN5200;Lag et lite eksempel på cross-coverage (hint: bruk labels).;;;;
IN5200;En covergroup kan sample data på to måte. Beskriv disse to måtene.;;;;
IN5200;Lag et eksempel på hvordan man spesifiserer antall bins i en coverage group.;;;;
IN5200;Lag et eksempel på hvordan man oppretter navnede bins, med spesifikke verdiere eller ranger som de fanger opp.;;;;
IN5200;"Lag et eksempel på ""transition coverage"".";;;;
IN5200;"Forklar tcl-kommandoen ""env"".";;;;
IN5200;"Forklar tcl-kommandoen ""eval"".";;;;
IN5200;"Forklar tcl-kommandoen ""exec"".";;;;
IN5200;"Forklar tcl-kommandoen ""source"".";;;;
IN5200;"Forklar tcl-kommandoen ""puts"".";;;;
IN5200;"Forklar tcl-kommandoen ""set"".";;;;
IN5200;"Forklar tcl-kommandoen ""lindex"".";;0;;
IN5200;"I tcl, hvordan bruker man variablene ""argv"", ""argv0"", og ""argc""?";;;;
IN5200;Hva er de tre typene AXI4 grensesnitt?;;;;
IN5200;Gi eksempel på hvordan man i en coverage group definerer bins som skal ignoreres eller som er ulovlige.;;;;
IN5200;Beskriv AXI4-stream: hvilke signaler/kanaler, hva er protokollen for å sende og motta data.;0;;;
IN5200;Beskriv AXI4-lite: hvilke signaler/kanaler, hva er protokollen for å sende og motta data.;;;;
IN5200;"I AXI4-lite, hvilken av de følgende er feil:""Assert Ready and wait for Valid"", ""Assert Valid and wait for Ready"", ""Wait for Ready before asserting Valid""?";;;;
IN5200;Hva skiller AXI4 fra AXI4-lite?;;;;
IN5200;Hvilke signaler/koblinger brukes i SPI?;1;;0;
IN5200;Gi en kort beskrivelse av flyten i en SPI-protokoll-overføring av data.;;;;
IN5200;Hvordan implementerer man ILA i et design, og hva brukes det til?;;;;
IN5200;Ved klokkedomenekryssing er det spesielt to problemer som gjør at man må implementere en form for synkronisering. Hvilke er disse?;;;;
IN5200;Hva er n-bit-problemet?;;;;0
IN5200;Hva er dobbel-flopping, og hvorfor brukes det?;;;;
IN5200;Tegn et skjema for en 'edge detector'.;;;;0
IN5200;Tegn et skjema for en 'multiplexer-based synchronizer'.;;;;
IN5200;Tegn et skjema for en 'enable-based synchronizer'. Hvordan skller denne seg fra en 'multiplexer-based synchronizer', og hvorfor foretrekkes 'enable-based'?;;;;
IN5200;Beskriv hvordan en generell 'handshake synchronizer' fungerer.;;;;
IN5200;Tegn et skjema av en 'FIFO synchronizer'.;;;;
IN5200;Forklar hva som menes med 'Convergence in CDC path problem', og hvordan man løser dette (CDC = clock domain crossing).;;;;
IN5200;Forklar hvorfor man bruker 'differential pairs' i serielle grensesnitt.;;;;
IN5200;Hva er 'pre-emphasis' og 'equalization', og hvorfor brukes dette?;;;;
IN5200;Forklar begrepet 'clock jitter'.;;;;
IN5200;Hva er et 'eye diagram', og hva brukes det til? Tegn eksempeler på et bra og et dårlig 'eye diagram'. Forklar begrepet 'eye mask', og tegn det inn i diagrammene.;;;;
IN5200;Forklar hva et 'interface' og et 'virtual interface' er i Systemverilog. Forklar forskjellene på disse.;;;;
IN5200;Hvorfor er det spesielt nyttig å bruke interfaces i testbenker?;;;;
IN5200;Forklar begrepet 'whitebox verification' og hvorfor man noen ganger ønsker å bruke dette.;;;;
IN5200;Hva er 'bind' i Systemverilog, og hva bruker man det til?;;;;
IN5200;Forklar hvordan 'uvm_hdl_force', 'uvm_hdl_check_path' og 'uvm_hdl_release' virker. Forklar hva som skiller Systemverilog sine 'force' fra 'uvm_hdl_force'.;;;;
IN5200;Forklar begrepet 'clock gating'. Beskriv hvilke problemer dette kan føre til og hvordan man løser disse.;;;;
IN5200;Forklar begreper 'derived clock' og forklar hvorfor man ikke burde bruke dette. Hvordan omgår man bruken av det?;;;;
IN5200;Hva er en LFSR? Hva kan den brukes til?;;;;
IN5200;Tegn et ASM-diagram av en FSM som implementerer en teller (som feks teller +1 på hver 10-ende klokkepuls);;;;
IN5200;Forklar forskjellene på en 'moore' og en 'mealey' FSM.;;;;
IN5200;Hva er forskjellen på 'two-segment' og 'one-segment' i forbindelse med FSM. Hva er anbefalt?;;;;
IN5200;Hva er en FSMD?;;;;
IN5200;Drøft forskjeller mellom 'multi-segment', 'two-segment', og 'one-segment' stil i fbm FSMD;;;;
IN5200;Forklar begrepet metastabilitet. Hvordan oppstår det ved klokke-domene-kryssing, og hvordan løser man dette?;;;;
IN5200;Hva er problemet med å sende en kort signalpuls mellom to klokkedomener?;;;;
